CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15582907,Aiken,652,France,Female,67.0,1,0.0,2,0.0,1.0,82865.22,0
15806447,Mazzanti,597,France,Male,57.0,2,0.0,2,0.0,1.0,137916.49,0
15582149,Chukwudi,773,Germany,Male,41.0,4,129321.44,1,1.0,1.0,93624.55,0
15794580,Deleon,628,France,Female,69.0,9,0.0,2,1.0,1.0,141400.58,0
15773384,T'ien,741,France,Male,35.0,3,88820.09,1,1.0,1.0,58420.96,0
15717328,Hsueh,842,France,Female,37.0,9,132446.08,2,1.0,0.0,87071.18,1
15809558,Peppin,651,Spain,Male,37.0,8,0.0,1,1.0,0.0,149970.59,0
15645136,O'Donnell,744,Spain,Male,30.0,3,0.0,1,1.0,1.0,121525.48,0
15707637,Zikoranachukwudimma,765,Spain,Male,30.0,1,0.0,1,0.0,0.0,13228.93,0
15665879,Macleod,646,Germany,Female,41.0,8,142644.64,1,0.0,0.0,7034.94,0
15635364,Hsia,710,France,Male,35.0,6,0.0,1,1.0,1.0,131443.89,0
15747558,Chiemenam,710,France,Male,41.0,6,122524.88,1,1.0,1.0,55701.73,0
15683544,Efremov,525,Spain,Male,32.0,8,142645.58,1,1.0,1.0,116973.48,0
15775888,McIntosh,723,France,Male,45.0,5,107980.46,1,1.0,1.0,52896.82,1
15683522,Y?an,616,France,Male,32.0,7,0.0,2,1.0,1.0,152996.09,0
15665524,Chien,594,France,Female,41.0,10,145079.72,1,1.0,0.0,143938.28,1
15770405,Chukwubuikem,598,Germany,Male,44.0,9,71996.29,1,1.0,1.0,172495.81,0
15640476,Hargreaves,683,France,Female,42.0,9,0.0,2,0.0,0.0,166478.58,0
15793883,Okeke,652,France,Male,54.0,4,0.0,1,1.0,1.0,172463.69,1
15574072,Smith,535,France,Female,31.0,2,0.0,2,1.0,0.0,175743.92,0
15676869,T'ien,619,France,Male,50.0,8,0.0,2,0.0,1.0,123866.43,0
15714057,Macartney,757,France,Male,33.0,6,0.0,2,0.0,0.0,46824.24,0
15707479,Onyemauchechukwu,691,France,Male,34.0,7,0.0,2,1.0,1.0,120593.55,0
15714057,Nwabugwu,586,France,Male,46.0,7,97473.12,1,1.0,1.0,51670.97,0
15808760,T'ang,714,Spain,Male,48.0,6,0.0,1,1.0,0.0,166495.2,0
15688059,P'eng,638,France,Female,48.0,6,0.0,1,1.0,0.0,136540.09,1
15631267,Maclean,781,France,Female,50.0,8,0.0,2,1.0,0.0,132547.02,0
15591035,Ch'eng,775,Germany,Female,33.0,6,102772.67,2,0.0,1.0,62746.54,0
15758836,Kable,597,France,Male,45.0,9,0.0,2,0.0,1.0,167756.45,0
15609510,Ch'ang,527,France,Male,35.0,8,0.0,2,1.0,1.0,9984.4,0
15591766,Pirozzi,714,France,Male,36.0,1,0.0,2,1.0,1.0,167058.75,0
15769947,Henty,627,France,Male,25.0,3,0.0,2,1.0,1.0,183599.71,0
15683543,Palerma,681,France,Male,28.0,6,0.0,2,1.0,0.0,112771.95,0
15583736,Ch'ien,752,France,Male,43.0,4,122929.51,1,1.0,1.0,120830.81,0
15807305,Mancini,656,Germany,Male,36.0,2,76989.97,2,0.0,0.0,151912.49,0
15795586,McDonald,478,France,Male,35.0,1,92474.05,1,1.0,0.0,178626.07,1
15686870,Walker,688,Germany,Male,59.0,8,121669.93,2,1.0,1.0,173776.5,0
15669952,P'eng,593,Germany,Male,41.0,3,91711.59,2,1.0,1.0,56937.43,0
15653762,Chidiebele,652,Germany,Male,44.0,9,116363.37,2,1.0,1.0,198059.16,0
15727408,L?,623,France,Male,46.0,8,61688.61,1,1.0,0.0,147059.16,0
15717893,Mazzanti,683,France,Male,43.0,4,0.0,2,1.0,1.0,113657.06,0
15619494,Ritchie,651,France,Male,23.0,9,0.0,1,1.0,0.0,103376.47,0
15797905,Hao,646,Germany,Female,29.0,4,117899.95,1,0.0,0.0,151924.9,1
15747542,Perez,615,France,Male,52.0,3,0.0,2,1.0,1.0,173952.5,0
15593468,Pagnotto,726,France,Female,36.0,4,0.0,2,1.0,0.0,89013.67,0
15656913,P'an,723,France,Female,50.0,5,0.0,2,0.0,0.0,148816.17,1
15783030,Owens,685,France,Female,40.0,7,0.0,2,0.0,0.0,72852.74,0
15678497,Porter,821,Spain,Male,56.0,2,149105.08,1,1.0,0.0,169425.3,0
15642997,T'ang,717,France,Male,31.0,1,0.0,2,0.0,1.0,172576.56,0
15709913,Kao,745,France,Male,30.0,3,0.0,1,1.0,1.0,182612.88,0
15777586,Uspensky,632,Germany,Female,40.0,2,98415.91,2,1.0,1.0,92865.58,0
15646800,Swayne,705,France,Female,63.0,4,0.0,1,0.0,0.0,140710.7,1
15747222,Bentley,745,France,Female,40.0,4,0.0,2,1.0,1.0,116581.1,0
15777595,Hsing,697,France,Female,28.0,9,0.0,2,1.0,0.0,1285.85,0
15606554,Douglas,797,France,Male,34.0,1,0.0,2,1.0,1.0,149184.15,0
15717156,Efremov,615,France,Male,41.0,7,0.0,2,0.0,0.0,1713.2,0
15730447,Hao,842,Spain,Male,46.0,5,0.0,1,1.0,1.0,119747.1,1
15602937,Yevseyev,577,France,Female,42.0,7,117444.51,1,1.0,1.0,164083.72,0
15644522,Ritchie,670,France,Female,29.0,6,0.0,1,1.0,0.0,1485.55,0
15706463,Ijendu,753,Spain,Male,32.0,3,0.0,2,0.0,1.0,166476.48,0
15749401,Onyemauchechukwu,453,Spain,Female,34.0,5,0.0,2,1.0,1.0,87422.15,0
15731555,Hs?,696,Spain,Female,28.0,6,0.0,2,1.0,1.0,183490.99,0
15751177,Milne,568,Spain,Female,44.0,7,0.0,2,1.0,1.0,45015.38,0
15812482,Young,575,Germany,Male,33.0,3,134318.21,2,1.0,0.0,99843.98,0
15793693,Rizzo,719,France,Female,26.0,8,0.0,2,1.0,1.0,85523.24,0
15754084,Zikoranachidimma,850,Spain,Female,39.0,6,153819.58,1,0.0,0.0,79270.02,0
15756820,Nwachukwu,686,France,Male,29.0,1,0.0,2,0.0,1.0,86786.33,0
15600710,Lai,762,Spain,Male,46.0,4,131468.44,1,1.0,0.0,167564.82,0
15749401,O'Toole,732,Germany,Female,35.0,5,119499.42,1,0.0,1.0,103421.79,0
15602373,White,613,Spain,Male,33.0,1,91760.11,1,0.0,0.0,145567.34,0
15762048,Nkemjika,644,France,Male,39.0,1,0.0,2,1.0,0.0,78670.52,0
15681509,McKay,679,France,Female,37.0,9,0.0,2,1.0,0.0,61761.77,0
15630106,Lo,656,Spain,Female,29.0,4,0.0,1,0.0,0.0,55389.59,1
15745080,Ts'ao,691,France,Male,31.0,2,156034.01,1,1.0,1.0,115147.74,0
15573456,L?,644,Spain,Male,34.0,5,0.0,2,1.0,1.0,161087.5,0
15775108,Lo Duca,848,Germany,Male,34.0,1,99325.04,2,0.0,1.0,186052.15,1
15761047,Nwabugwu,708,France,Male,36.0,6,0.0,1,0.0,0.0,124533.5,0
15796764,Bruno,540,Germany,Male,56.0,9,127585.98,1,1.0,1.0,80593.49,0
15740165,Toscani,637,Germany,Female,50.0,4,113755.68,1,1.0,1.0,159414.2,1
15690134,Obialo,659,France,Male,39.0,6,0.0,2,1.0,0.0,121311.12,0
15778947,Chukwubuikem,583,France,Male,38.0,8,0.0,2,1.0,0.0,6761.84,0
15752841,Ch'iu,685,Germany,Male,35.0,1,129855.72,1,0.0,0.0,158545.25,0
15700657,Frewin,679,France,Male,33.0,4,0.0,1,1.0,1.0,92612.88,0
15662658,Folliero,648,France,Male,32.0,2,0.0,2,0.0,0.0,125445.65,0
15660271,Gosnell,696,France,Male,49.0,6,0.0,2,1.0,0.0,19047.23,0
15640635,Capon,769,France,Male,31.0,8,145578.28,1,0.0,1.0,93739.71,0
15604782,Tan,613,France,Male,38.0,1,0.0,2,1.0,1.0,165576.55,0
15793883,Chukwujekwu,684,Germany,Male,30.0,2,145215.43,1,1.0,0.0,468.94,0
15792722,Omeokachie,611,Germany,Female,34.0,9,64897.75,1,1.0,0.0,114996.33,0
15782534,Pagnotto,735,France,Male,43.0,6,0.0,2,1.0,1.0,151677.33,0
15709183,Mazzi,726,France,Male,37.0,4,0.0,2,1.0,1.0,133573.29,0
15797910,Shih,567,Germany,Male,38.0,4,118614.6,2,1.0,0.0,191746.23,1
15771086,Fanucci,678,France,Female,40.0,1,0.0,2,1.0,1.0,141180.66,0
15670587,Boyle,708,Germany,Male,40.0,4,111568.01,1,1.0,1.0,22026.18,0
15709780,Azuka,667,France,Female,37.0,9,71786.9,1,1.0,1.0,67734.79,0
15660809,Tien,634,France,Male,33.0,2,0.0,1,1.0,0.0,171762.87,0
15608726,Trevisano,492,France,Male,39.0,7,0.0,2,0.0,1.0,59645.24,0
15596863,Cardell,533,Germany,Male,40.0,7,153316.14,1,1.0,0.0,138552.74,0
15802370,Trevisani,653,Germany,Male,36.0,4,133745.14,1,1.0,1.0,75825.57,0
15678427,Otutodilinna,538,France,Female,31.0,0,0.0,2,0.0,0.0,179453.66,0
15772363,Iweobiegbunam,704,Spain,Male,32.0,1,0.0,2,0.0,1.0,64716.08,0
15634551,Williamson,695,France,Male,36.0,4,0.0,2,1.0,0.0,130752.01,0
15769412,P'an,584,France,Female,38.0,6,0.0,2,1.0,1.0,54487.88,0
15658890,Lo Duca,671,France,Male,34.0,10,0.0,2,1.0,1.0,84902.72,0
15572454,Chiganu,779,Germany,Male,33.0,8,134896.77,2,1.0,1.0,173365.8,0
15721719,Chibugo,542,France,Male,29.0,7,0.0,2,0.0,1.0,196651.72,0
15753861,Hsiung,577,France,Female,56.0,3,0.0,1,1.0,0.0,160526.36,1
15598157,L?,797,Germany,Male,41.0,5,157780.84,1,1.0,1.0,81299.17,0
15793328,Narelle,525,France,Female,37.0,6,0.0,1,1.0,0.0,167543.58,1
15797930,Dyer,565,Spain,Male,44.0,2,0.0,2,1.0,0.0,197226.32,0
15768120,Ts'ui,637,France,Female,34.0,4,0.0,2,1.0,1.0,123877.22,0
15783842,Milano,705,Germany,Female,51.0,9,78885.88,1,1.0,0.0,91429.74,1
15734438,Kanayochukwu,738,France,Female,29.0,4,0.0,2,1.0,0.0,121846.81,0
15780056,Bischof,645,France,Male,35.0,9,0.0,2,1.0,1.0,63846.36,0
15720644,Cremonesi,582,Germany,Male,44.0,4,117726.57,1,0.0,0.0,119882.86,1
15715750,T'an,751,France,Male,28.0,4,0.0,2,1.0,0.0,79414.92,0
15654851,Udegbunam,554,Spain,Male,44.0,2,0.0,2,0.0,1.0,27886.06,0
15767626,Carpenter,811,France,Female,42.0,6,0.0,2,1.0,1.0,3797.79,0
15708422,Hsiung,699,France,Female,35.0,0,0.0,2,1.0,0.0,51113.14,1
15774393,Yudina,580,Germany,Male,34.0,4,132835.3,1,1.0,1.0,143880.32,0
15642041,Vachon,754,France,Male,34.0,8,0.0,2,0.0,1.0,47972.65,0
15793331,Chikezie,718,Germany,Male,42.0,1,122453.97,2,1.0,0.0,181600.72,0
15571940,Uspensky,625,France,Male,46.0,6,0.0,1,1.0,1.0,169287.99,1
15790599,Hsueh,599,Spain,Female,41.0,9,0.0,2,1.0,1.0,72678.34,0
15605130,Seccombe,753,Spain,Male,32.0,2,0.0,2,1.0,1.0,161642.08,0
15810563,Eluemuno,702,Spain,Male,41.0,8,0.0,3,1.0,0.0,141959.11,1
15732773,Olisanugo,550,Spain,Male,34.0,1,0.0,2,1.0,0.0,187964.51,0
